GEO.id2,GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id2,Id,Geography,Estimate;  Total: ,Margins of Error;  Total: ,Estimate;  In married-couple families: ,Margins of Error;  In married-couple families: ,Estimate;  In married-couple families: Under 3 years ,Margins of Error;  In married-couple families: Under 3 years ,Estimate;  In married-couple families: 3 and 4 years ,Margins of Error;  In married-couple families: 3 and 4 years ,Estimate;  In married-couple families: 5 years ,Margins of Error;  In married-couple families: 5 years ,Estimate;  In married-couple families: 6 to 11 years ,Margins of Error;  In married-couple families: 6 to 11 years ,Estimate;  In married-couple families: 12 to 17 years ,Margins of Error;  In married-couple families: 12 to 17 years ,Estimate;  In other families: ,Margins of Error;  In other families: ,"Estimate;  In other families: Male householder, no wife present: ","Margins of Error;  In other families: Male householder, no wife present: ","Estimate;  In other families: Male householder, no wife present: Under 3 years ","Margins of Error;  In other families: Male householder, no wife present: Under 3 years ","Estimate;  In other families: Male householder, no wife present: 3 and 4 years ","Margins of Error;  In other families: Male householder, no wife present: 3 and 4 years ","Estimate;  In other families: Male householder, no wife present: 5 years ","Margins of Error;  In other families: Male householder, no wife present: 5 years ","Estimate;  In other families: Male householder, no wife present: 6 to 11 years ","Margins of Error;  In other families: Male householder, no wife present: 6 to 11 years ","Estimate;  In other families: Male householder, no wife present: 12 to 17 years ","Margins of Error;  In other families: Male householder, no wife present: 12 to 17 years ","Estimate;  In other families: Female householder, no husband present: ","Margins of Error;  In other families: Female householder, no husband present: ","Estimate;  In other families: Female householder, no husband present: Under 3 years ","Margins of Error;  In other families: Female householder, no husband present: Under 3 years ","Estimate;  In other families: Female householder, no husband present: 3 and 4 years ","Margins of Error;  In other families: Female householder, no husband present: 3 and 4 years ","Estimate;  In other families: Female householder, no husband present: 5 years ","Margins of Error;  In other families: Female householder, no husband present: 5 years ","Estimate;  In other families: Female householder, no husband present: 6 to 11 years ","Margins of Error;  In other families: Female householder, no husband present: 6 to 11 years ","Estimate;  In other families: Female householder, no husband present: 12 to 17 years ","Margins of Error;  In other families: Female householder, no husband present: 12 to 17 years "
0900304300,06000US0900304300,"Berlin town, Hartford County, Connecticut",4229,251,3676,257,556,150,442,143,225,91,1208,292,1245,247,553,197,175,107,0,22,0,22,16,26,44,41,115,74,378,180,0,22,0,22,19,31,255,152,104,69
0900305910,06000US0900305910,"Bloomfield town, Hartford County, Connecticut",2425,323,1537,343,302,132,234,100,46,47,446,150,509,171,888,264,277,189,32,39,27,37,0,22,121,113,97,98,611,231,138,125,25,35,57,59,198,119,193,87
0900308490,06000US0900308490,"Bristol town, Hartford County, Connecticut",11473,583,7456,603,1071,262,776,201,330,153,2906,352,2373,341,4017,626,1205,390,256,157,170,117,77,89,404,193,298,138,2812,483,293,154,245,135,175,91,970,233,1129,297
0900310100,06000US0900310100,"Burlington town, Hartford County, Connecticut",2429,191,2069,225,227,80,122,56,85,53,832,178,803,179,360,119,104,75,12,19,0,17,0,17,28,30,64,59,256,128,28,45,0,17,0,17,112,99,116,67
0900312270,06000US0900312270,"Canton town, Hartford County, Connecticut",2209,184,1820,220,173,84,75,55,94,50,763,208,715,168,389,164,132,96,32,46,24,38,0,19,0,19,76,79,257,131,0,19,0,19,8,12,69,75,180,128
0900322070,06000US0900322070,"East Granby town, Hartford County, Connecticut",1150,154,1014,173,148,82,127,68,76,67,399,149,264,121,136,108,57,67,0,17,0,17,0,17,22,35,35,44,79,88,59,82,0,17,0,17,0,17,20,31
0900322630,06000US0900322630,"East Hartford town, Hartford County, Connecticut",9706,603,4927,510,629,147,566,199,309,122,1820,307,1603,244,4779,640,666,235,200,122,60,55,54,32,143,114,209,103,4113,610,661,226,266,141,217,102,1377,334,1592,298
0900324800,06000US0900324800,"East Windsor town, Hartford County, Connecticut",2270,453,1408,237,208,106,90,58,32,48,507,169,571,169,862,520,105,104,54,72,0,19,0,19,51,81,0,19,757,512,54,78,162,164,0,19,348,268,193,153
0900325990,06000US0900325990,"Enfield town, Hartford County, Connecticut",7540,446,5402,488,787,160,631,163,284,96,1917,303,1783,266,2138,402,412,188,102,70,16,21,0,25,81,55,213,147,1726,372,73,65,109,62,42,32,591,196,911,231
0900327600,06000US0900327600,"Farmington town, Hartford County, Connecticut",5232,329,4518,292,629,220,355,122,230,89,1509,227,1795,220,714,218,102,69,7,12,11,17,7,11,33,31,44,36,612,207,61,46,20,32,32,30,216,124,283,123
0900331240,06000US0900331240,"Glastonbury town, Hartford County, Connecticut",8359,310,6877,390,750,186,830,188,172,75,2376,254,2749,321,1482,346,318,152,0,25,0,25,19,29,137,84,162,111,1164,309,81,64,68,57,66,86,321,140,628,208
0900332640,06000US0900332640,"Granby town, Hartford County, Connecticut",2518,180,2031,278,282,122,201,89,66,60,693,176,789,210,487,204,170,181,0,19,0,19,0,19,100,103,70,89,317,159,0,19,17,26,0,19,96,68,204,116
0900337070,06000US0900337070,"Hartford town, Hartford County, Connecticut",26342,1029,7065,744,977,207,748,210,354,125,2654,360,2332,366,19277,1106,2207,484,338,125,279,125,147,83,688,249,755,223,17070,1086,2485,329,1865,264,1103,231,5951,494,5666,609
0900337140,06000US0900337140,"Hartland town, Hartford County, Connecticut",433,73,375,69,35,23,33,18,15,16,164,40,128,34,58,32,19,18,4,6,4,6,5,7,0,12,6,6,39,25,0,12,0,12,0,12,7,7,32,21
0900344700,06000US0900344700,"Manchester town, Hartford County, Connecticut",11540,705,7141,503,1650,314,912,237,314,105,2032,334,2233,334,4399,677,585,208,214,94,61,54,15,25,183,128,112,79,3814,668,543,167,550,161,184,108,1352,345,1185,270
0900345820,06000US0900345820,"Marlborough town, Hartford County, Connecticut",1487,191,1256,189,86,71,170,75,17,29,403,125,580,151,231,140,85,82,30,47,0,17,0,17,11,19,44,54,146,118,0,17,0,17,0,17,27,30,119,104
0900350440,06000US0900350440,"New Britain town, Hartford County, Connecticut",14449,714,6668,748,908,220,718,193,287,100,2549,395,2206,366,7781,708,1112,265,211,98,119,70,59,59,329,136,394,143,6669,690,1092,260,656,224,449,123,2277,345,2195,328
0900352140,06000US0900352140,"Newington town, Hartford County, Connecticut",5099,306,3955,331,667,160,330,81,206,66,1367,200,1385,253,1144,285,208,95,11,17,34,33,13,20,82,51,68,42,936,274,84,63,58,50,22,32,263,97,509,202
0900360120,06000US0900360120,"Plainville town, Hartford County, Connecticut",3196,253,1736,303,285,120,251,118,102,63,610,169,488,152,1460,340,320,232,0,19,0,19,0,19,109,95,211,204,1140,309,125,90,70,76,92,81,388,152,465,201
0900365370,06000US0900365370,"Rocky Hill town, Hartford County, Connecticut",3899,294,2758,382,657,202,314,127,131,87,850,220,806,201,1141,407,69,93,20,31,0,19,0,19,29,34,20,31,1072,404,141,111,21,30,58,61,410,194,442,203
0900368940,06000US0900368940,"Simsbury town, Hartford County, Connecticut",5924,257,5161,289,581,174,387,110,240,73,1847,196,2106,231,763,249,255,146,9,14,0,22,6,11,69,52,171,105,508,224,21,23,5,9,36,43,106,64,340,180
0900370550,06000US0900370550,"Southington town, Hartford County, Connecticut",9023,399,7343,445,1173,233,839,186,402,140,2622,284,2307,280,1680,342,466,210,0,25,0,25,112,74,145,80,209,102,1214,293,151,88,126,68,68,68,380,145,489,153
0900371390,06000US0900371390,"South Windsor town, Hartford County, Connecticut",5802,370,5065,413,845,233,331,110,300,90,1693,227,1896,299,737,193,199,104,51,65,21,33,0,22,53,51,74,48,538,167,0,22,20,31,12,19,176,84,330,128
0900374540,06000US0900374540,"Suffield town, Hartford County, Connecticut",2943,180,2391,280,250,100,236,109,69,41,839,205,997,211,552,234,54,46,0,19,0,19,0,19,13,21,41,42,498,226,44,71,13,22,18,28,66,82,357,220
0900382590,06000US0900382590,"West Hartford town, Hartford County, Connecticut",13522,507,10780,494,1418,217,1262,178,570,124,3688,361,3842,428,2742,458,722,244,9,15,93,88,73,75,194,115,353,143,2020,381,99,63,125,65,143,84,733,214,920,221
0900384900,06000US0900384900,"Wethersfield town, Hartford County, Connecticut",5040,254,4122,281,708,161,514,133,194,83,1303,204,1403,195,918,258,135,75,2,6,0,22,0,22,54,41,79,56,783,241,0,22,84,67,6,10,291,127,402,143
0900387000,06000US0900387000,"Windsor town, Hartford County, Connecticut",5366,326,3729,385,712,153,400,126,93,51,1272,230,1252,227,1637,382,352,162,6,10,89,50,0,22,133,89,124,89,1285,355,56,43,89,55,80,55,383,188,677,223
0900387070,06000US0900387070,"Windsor Locks town, Hartford County, Connecticut",2001,209,1429,212,302,165,102,60,38,43,442,154,545,152,572,202,105,64,0,19,0,19,11,18,38,38,56,53,467,191,60,56,87,69,69,87,97,57,154,101
0900502760,06000US0900502760,"Barkhamsted town, Litchfield County, Connecticut",733,148,635,140,56,40,79,44,27,26,247,117,226,87,98,64,41,45,0,12,0,12,0,12,18,30,23,35,57,43,0,12,0,12,0,12,0,12,57,43
0900504930,06000US0900504930,"Bethlehem town, Litchfield County, Connecticut",696,91,560,108,23,32,70,55,21,29,240,103,206,105,136,112,72,96,0,12,25,34,23,30,0,12,24,32,64,52,0,12,0,12,10,15,48,45,6,9
0900508210,06000US0900508210,"Bridgewater town, Litchfield County, Connecticut",334,107,223,38,25,16,19,12,4,5,74,26,101,28,111,94,0,12,0,12,0,12,0,12,0,12,0,12,111,94,3,5,0,12,10,15,23,24,75,75
0900510940,06000US0900510940,"Canaan town, Litchfield County, Connecticut",189,55,154,51,27,18,25,18,2,4,52,19,48,27,35,22,32,22,10,11,4,7,0,12,7,7,11,9,3,4,0,12,0,12,0,12,3,4,0,12
0900516050,06000US0900516050,"Colebrook town, Litchfield County, Connecticut",226,45,201,47,33,23,8,9,16,17,72,30,72,25,25,17,14,15,0,12,0,12,0,12,0,12,14,15,11,10,0,12,0,12,0,12,11,10,0,12
0900517240,06000US0900517240,"Cornwall town, Litchfield County, Connecticut",314,97,278,100,20,15,16,11,13,11,82,34,147,89,36,24,12,9,3,4,0,12,0,12,1,3,8,7,24,23,0,12,0,12,0,12,12,12,12,12
0900532290,06000US0900532290,"Goshen town, Litchfield County, Connecticut",536,130,467,142,24,23,15,18,44,45,187,75,197,101,69,64,35,53,0,12,0,12,0,12,0,12,35,53,34,42,0,12,0,12,0,12,0,12,34,42
0900537280,06000US0900537280,"Harwinton town, Litchfield County, Connecticut",1033,124,953,127,57,34,78,40,73,35,377,95,368,103,80,57,24,26,0,17,0,17,0,17,0,17,24,26,56,42,6,10,0,17,0,17,20,31,30,26
0900540290,06000US0900540290,"Kent town, Litchfield County, Connecticut",574,127,486,145,88,60,75,57,0,12,159,76,164,95,88,69,32,48,11,17,11,17,0,12,10,15,0,12,56,57,13,18,13,18,0,12,11,16,19,20
0900543370,06000US0900543370,"Litchfield town, Litchfield County, Connecticut",1678,230,1381,222,176,79,87,43,34,26,500,109,584,87,297,102,58,38,0,17,0,17,0,17,21,18,37,32,239,96,22,32,9,14,0,17,76,50,132,69
0900549460,06000US0900549460,"Morris town, Litchfield County, Connecticut",443,61,414,70,23,18,27,28,18,16,175,46,171,53,29,31,9,15,0,12,0,12,0,12,0,12,9,15,20,27,0,12,0,12,0,12,16,26,4,8
0900551350,06000US0900551350,"New Hartford town, Litchfield County, Connecticut",1575,221,1391,254,134,99,187,116,16,23,531,177,523,135,184,120,53,64,0,17,0,17,0,17,24,38,29,48,131,96,45,72,0,17,0,17,23,27,63,54
0900552630,06000US0900552630,"New Milford town, Litchfield County, Connecticut",5992,345,4942,397,504,145,377,130,279,116,1780,245,2002,278,1050,288,296,161,11,18,19,26,21,29,70,67,175,128,754,263,49,47,35,37,16,23,148,111,506,209
0900553470,06000US0900553470,"Norfolk town, Litchfield County, Connecticut",300,107,204,88,15,18,25,28,0,12,57,33,107,43,96,64,2,4,0,12,0,12,0,12,2,4,0,12,94,64,11,16,0,12,7,11,53,42,23,18
0900554030,06000US0900554030,"North Canaan town, Litchfield County, Connecticut",508,119,260,89,0,12,32,31,34,42,97,63,97,62,248,134,95,72,0,12,31,29,0,12,43,33,21,23,153,115,56,55,0,12,0,12,45,49,52,43
0900560750,06000US0900560750,"Plymouth town, Litchfield County, Connecticut",2478,195,1911,242,275,136,224,79,102,66,613,159,697,170,567,165,172,141,52,64,0,19,50,61,43,29,27,26,395,138,30,32,16,24,42,60,176,123,131,70
0900565930,06000US0900565930,"Roxbury town, Litchfield County, Connecticut",426,76,407,75,0,12,26,20,13,13,142,51,226,62,19,20,0,12,0,12,0,12,0,12,0,12,0,12,19,20,0,12,0,12,0,12,9,13,10,15
0900566420,06000US0900566420,"Salisbury town, Litchfield County, Connecticut",621,154,481,136,39,42,45,56,11,17,236,105,150,85,140,133,106,128,0,12,50,64,0,12,12,21,44,54,34,33,0,12,0,12,0,12,0,12,34,33
0900567960,06000US0900567960,"Sharon town, Litchfield County, Connecticut",353,82,223,73,48,36,38,31,10,16,89,58,38,29,130,104,92,95,0,12,0,12,0,12,23,24,69,71,38,31,0,12,0,12,0,12,0,12,38,31
0900575730,06000US0900575730,"Thomaston town, Litchfield County, Connecticut",1377,112,1138,132,126,53,60,39,48,34,355,87,549,124,239,94,18,21,7,11,0,17,0,17,11,17,0,17,221,87,0,17,9,13,0,17,77,61,135,71
0900576570,06000US0900576570,"Torrington town, Litchfield County, Connecticut",6141,385,4309,341,550,142,559,176,198,91,1372,257,1630,269,1832,365,329,158,37,46,77,74,19,23,97,63,99,63,1503,347,204,113,140,95,77,52,573,173,509,157
0900579510,06000US0900579510,"Warren town, Litchfield County, Connecticut",242,37,213,37,19,13,24,13,14,9,92,39,64,23,29,20,6,6,0,12,0,12,0,12,6,6,0,12,23,20,4,5,0,12,0,12,11,8,8,9
0900579720,06000US0900579720,"Washington town, Litchfield County, Connecticut",425,95,335,98,20,25,52,39,17,21,92,51,154,59,90,57,35,47,0,12,0,12,0,12,24,36,11,18,55,43,0,12,12,23,0,12,0,12,43,37
0900580490,06000US0900580490,"Watertown town, Litchfield County, Connecticut",4309,336,3591,424,414,153,311,132,145,97,1251,317,1470,256,718,278,196,186,46,68,33,49,0,22,30,43,87,82,522,182,25,30,38,45,38,35,125,74,296,129
0900586440,06000US0900586440,"Winchester town, Litchfield County, Connecticut",1867,331,1392,315,176,102,170,105,43,35,536,239,467,152,475,230,209,197,83,95,84,95,0,19,0,19,42,43,266,133,36,44,4,17,13,19,67,46,146,99
0900587910,06000US0900587910,"Woodbury town, Litchfield County, Connecticut",2030,201,1824,208,326,114,229,105,57,55,641,167,571,134,206,78,58,45,0,17,0,17,0,17,37,31,21,21,148,70,0,17,0,17,0,17,41,34,107,61
0900714300,06000US0900714300,"Chester town, Middlesex County, Connecticut",768,115,542,140,50,35,70,37,7,11,193,99,222,92,226,125,25,37,0,12,0,12,0,12,25,37,0,12,201,127,23,34,11,15,38,43,53,46,76,74
0900715350,06000US0900715350,"Clinton town, Middlesex County, Connecticut",2567,238,2068,225,224,102,193,94,98,60,1039,199,514,125,499,194,186,112,0,19,49,56,9,15,66,54,62,68,313,133,26,24,20,31,12,16,127,70,128,70
